registro,price_usd,address,beds,baths,half_baths,sqft,lat,long
2111-01c21-1,774494,"Marathon 116, Kennedy
Nogales, Sonora 84063
Mexico",4,5,1,4844,31.296781,-110.93881
2111-01c21-2,629277,"retorno marathon 108, Kalitea
Nogales, Sonora 84081
Mexico",4,5,1,8251,31.29617,-110.938769
2111-01c21-3,450000,"corinto 125, Jardines Kalitea
Nogales, Sonora 84066
Mexico",4,4,1,4919,31.297455,-110.939673
2111-01c21-4,360000,"altar 5, Granja
Nogales, Sonora 84065
Mexico",NA,NA,NA,6738,31.300276,-110.947628
2111-01c21-5,290435,"Privada Cajeme 111, Granja
Nogales, Sonora 84065
Mexico",12,6,NA,3929,31.304448,-110.950123
2111-01c21-6,266232,"del olmo 17, Los Alamos
Nogales, Sonora 84085
Mexico",NA,NA,NA,3364,31.293416,-110.924386
2111-01c21-7,212986,"marcella 7, Casa Blanca
Nogales, Sonora 84094
Mexico",3,2,1,3229,31.261716,-110.970063
2111-01c21-8,203305,"hercules sn, El Greco
Nogales, Sonora 84066
Mexico",4,5,NA,2325,31.289033,-110.954463
2111-01c21-9,200000,"C. Independencia 478, Del Rosario
Nogales, Sonora 84020
Mexico",5,5,NA,3229,31.332514,-110.954399
2111-01c21-10,191203,"los angeles 51, California
Nogales, Sonora 84094
Mexico",4,2,1,2906,31.266576,-110.955785
2111-01c21-11,183942,"Jose Pujol 41, El Rodeo
Nogales, Sonora 84064
Mexico",4,3,1,2454,31.297859,-110.957408
2111-01c21-12,150058,"fray marcos de niza sn, Kennedy
Nogales, Sonora 84063
Mexico",2,2,1,1722,31.300592,-110.94324
2111-01c21-13,140000,"C. Sierraq madre occidental 682, Benito Ju??rez
Nogales, Sonora 84015
Mexico",5,3,NA,6862,31.32874,-110.925544
2111-01c21-14,135052,"san miguel sn, El Greco
Nogales, Sonora 84066
Mexico",3,2,1,3617,31.294529,-110.955482
2111-01c21-15,125855,"campos eliseos 161, Monte Bello
Nogales, Sonora 84001
Mexico",3,3,2,1534,31.322146,-110.965187
2111-01c21-16,89309,"campos eliseos sn, Pima II
Nogales, Sonora 84024
Mexico",3,2,1,1528,31.322379,-110.963579
2111-01c21-17,90000,"Buenos aires 249, Buenos Aires
Nogales, Sonora 84010
Mexico",3,2,NA,7298,31.329927,-110.938571
2111-01c21-18,87131,"del valle 21B, Villa Bonita
Nogales, Sonora 84001
Mexico",4,3,NA,1184,31.296923,-110.960932
2111-01c21-19,65348,"Municipio Benito Juarez 30, Rosarito II
Nogales, Sonora 84076
Mexico",3,1,NA,2605,31.308098,-110.925494
2111-01c21-20,58087,"serena sn, Buenos Aires Este
Nogales, Sonora 84018
Mexico",3,1,1,700,31.329538,-110.925118
2110-01vva-1,18953,SE VENDE CASA COMO DERECHOS DE ADJUDICACION / OCUPADA,4,2,NA,NA,31.301411,-110.935525
2110-01vva-2,25935,SE VENDE INMUEBLE CON VIVIENDAS PEQUE?AS /,2,1,NA,NA,31.301411,-110.935525
2110-01vva-3,50987,Departamento en Venta en Pedregal de San Nicolas 1a Seccion,2,1,NA,NA,31.30118,-110.9381
2110-01vva-4,67332,Casa en Venta en Azteca,3,3,NA,1076.391042,31.307154,-110.938078
2110-01vva-5,149626,CASA EN VENTA EN NOGALES SONORA,5,4,NA,4693.064942,31.302018,-110.931904
2110-01vva-6,174564,Casa en Venta en Jardines de Delicias,3,3,NA,2152.782083,31.305145,-110.942134
2110-01vva-7,174564,Hermosa casa en venta al sur de Nogales Sonora.,3,3,NA,16231.97691,31.30118,-110.9381
2110-01vva-8,406484,"Casa en Venta en Corregidora, Querétaro.",3,3,NA,5166.677,31.305863,-110.94054
2110-01vva-9,274314,Se vende 11 departamentos Excelente opción de inversión Nogales Sonora,1,1,NA,NA,31.29244,-110.925035
2110-01vva-10,140000,Se vende casa en colonia Benito Juarez Nogales Sonora,5,3,NA,NA,31.32776,-110.926195
2110-01vva-11,139152,Se vende casa en Residencial San miguel,3,2,NA,NA,31.29355,-110.956135
2110-01vva-12,189526,Se vende hermosa casa en colonia Rodeo,4,3,NA,NA,31.29688,-110.958055
2110-01vva-13,90000,se vende terreno comercial con casa,3,2,NA,NA,31.32992,-110.93857
2110-01vva-14,149626,Se Vende Casa En Colonia Buenos Aires,6,3,NA,8180.571917,31.327401,-110.934537
2110-01vva-15,197007,Se vende casa en Residencial California,4,2,NA,NA,31.2656,-110.956435
2110-01vva-16,119451,CASA EN VENTA RESIDENCIAL CASA BLANCA NOGALES,4,2,NA,1722.225667,31.263935,-110.969603
2110-01vva-17,124688,Casa en Venta,4,4,NA,1722.225667,31.26178,-110.97078
2110-01vva-18,139651,"Se vende casa en Residencial Casa Blanca, Barcelona no 17 Nogales Sonora",4,2,NA,NA,31.26097,-110.971535
2110-01vva-19,239401,Se vende casa en Residencial Casa Blanca,3,2,NA,NA,31.26074,-110.970715
2110-01vva-20,80000,casa en venta en la Ciudad de Nogales Sonora muy centrica,4,2,NA,9687.519375,31.32936,-110.95061
2110-01vva-21,187032,"Se vende casa en colonia Moderna, Nogales Sonora",3,2,NA,NA,31.31894,-110.949955
2110-01vva-22,200000,Se vende amplia casa pegada a linea fronteriza,5,4,NA,NA,31.33154,-110.955045
2110-01vva-23,59850,Casa - Anuncio publicado por Noel,4,2,NA,NA,31.2655,-110.93923
2110-01vva-24,NA,De oportunidad! Hermosa residencia para mudarte hoy mismo en una excelente ubicación en la ciudad...,6,NA,NA,2368.060292,31.284011,-110.942805
2110-01vva-25,25691,VENTA DE CASA EN SANTA ELENA NOGALES SONORA,2,1,NA,602.7789833,31.29526,-110.970704
2110-01vva-26,27471,CASA EN VENTA EN NOGALES SONORA.,2,1,NA,635.0707146,31.29474,-110.96651
2110-01vva-27,67400,"OPORTUNIDAD DE CASA EN REMATE BANCARIO, COL. LOS ÁNGELES",3,2,NA,NA,31.301916,-110.961901
2110-01vva-28,68940,Casa en Venta en SAN ANTONIO,3,2,NA,2131.254263,31.29603,-110.95674
2110-01vva-29,82244,CASA HABITACION EN COLONIA DEL VALLE NOGALES SONORA,3,1,NA,3229.173125,31.306,-110.93096
2110-01vva-30,74813,Atención inversionistas. 2 Departamentos en Venta en Nogales Sonora.,6,NA,NA,NA,31.297361,-110.960686
2110-01vva-31,350000,"Venta de Departamentos en Nogales Sonora, Tenemos la mejor opción para invertir",2,1,NA,4305.564167,31.296451,-110.953976
2110-01vva-32,18953,Casa en Venta en FUNDO LEGAL CENTRO,2,1,NA,893.4045646,31.32377,-110.94475
2110-01vva-33,20449,Se vende departamento en Fovisste 2,2,1,NA,NA,31.32819,-110.966015
2110-01vva-34,20449,Casa en Venta en Jardines de la Monta?a,2,1,NA,624.3068042,31.29491,-110.96615
2110-01vva-35,27471,CASA EN VENTA EN FRACC JARDINES DE LA MONTANA NOGALES SONORA,2,1,NA,NA,31.29365,-110.962584
2110-01vva-36,27471,"SE VENDE CASA EN JARDINES DE LA MONTA?A ,NOGALES SONORA",2,1,NA,592.0150729,31.29496,-110.96644
2110-01vva-37,23192,Casa en Venta en La Muralla,2,2,NA,828.8211021,31.28341,-110.97473
2110-01vva-38,23192,Casa en Venta en La Muralla,2,2,NA,828.8211021,31.28335,-110.97471
2110-01vva-39,23192,Casa en Venta en La Muralla,2,2,NA,828.8211021,31.28335,-110.97471
2110-01vva-40,23441,Casa en Venta en La Muralla,2,2,NA,807.2932813,31.28328,-110.97465
2110-01vva-41,32218,Casa en Venta en La Muralla,2,2,NA,947.2241167,31.28354,-110.97411
2110-01vva-42,9975,Departamento en Venta en Jardines Del Bosque,1,NA,NA,NA,31.291338,-110.97003
