"","registro","price_usd","address","beds","baths","half_baths","sqft","lat","long"
"1","2110-02c21-1",219000,"17583 115th Avenue Chippewa Falls, WI 54729",4,1,NA,1638,45.0093,-91.3155
"8","2110-02c21-2",159900,"342 N Pine Street Cadott, WI 54727",3,1,NA,1212,44.9491,-91.1528
"15","2110-02c21-3",195000,"11650 360th Street Stanley, WI 54768",2,1,NA,1260,45.01163,-90.945047
"27","2110-02c21-4",130000,"310 Olive Street Chippewa Falls, WI 54729",3,1,NA,1190,44.9417,-91.4045
"35","2110-02c21-5",99900,"11079 17th Avenue Chippewa Falls, WI 54729",1,1,NA,744,44.8692,-91.4465
"42","2110-02c21-6",214900,"13567 130th Avenue Chippewa Falls, WI 54729",3,1,NA,1274,45.031092,-91.396986
"47","2110-02c21-7",159900,"742 Harding Street Chippewa Falls, WI 54729",2,1,NA,702,44.9178,-91.3944
"55","2110-02c21-8",199000,"13804 220th Avenue Bloomer, WI 54724",3,1,1,1248,45.1644,-91.3968
"71","2110-02c21-9",144900,"132 E 6th Avenue Stanley, WI 54768",3,1,1,1847,44.9640857,-90.9361665
"88","2110-02c21-10",136900,"807 N Boundary Road N Boyd, WI 54726",4,1,NA,1540,44.958945,-91.025175
"96","2110-02c21-11",225000,"W8968 Cty. Rd. D Holcombe, WI 54745",2,1,NA,975,45.2997,-91.1347
"103","2110-02c21-12",184900,"11341 270th Avenue New Auburn, WI 54757",2,1,NA,1472,45.2348,-91.452
"114","2110-02c21-13",119000,"537 N Maple Street Cadott, WI 54727",2,1,NA,1258,44.9515,-91.1523
"121","2110-02c21-14",115000,"228 Lincoln Street Stanley, WI 54768",3,1,1,1550,44.9577,-90.9342
"128","2110-02c21-15",79900,"109 Barber Street Stanley, WI 54768",2,1,NA,1050,44.960274,-90.939339
"137","2110-02c21-16",149900,"519 Chippewa Street Chippewa Falls, WI 54729",3,1,NA,1511,44.9219,-91.3873
"146","2110-02c21-17",224900,"22904 52nd Street New Auburn, WI 54757",3,1,NA,1690,45.1768,-91.5801
"154","2110-02c21-18",195900,"202 S East Street New Auburn, WI 54757",2,1,NA,1096,45.203,-91.5572
"161","2110-02c21-19",94900,"116 S 2nd Street Cornell, WI 54732",3,1,NA,1188,45.1666,-91.1509
"166","2110-02c21-20",125000,"536 Olive Street Chippewa Falls, WI 54729",1,1,NA,1104,44.9418,-91.4094
"174","2110-02c21-21",199900,"14548 245th St. Cadott, WI 54727",3,1,NA,1678,45.0531,-91.1768
"182","2110-02c21-22",208000,"1223 Mansfield Street Chippewa Falls, WI 54729",2,1,NA,950,44.93647,-91.416036
"187","2110-02c21-23",199900,"334 N 7th Street Cornell, WI 54732",2,1,NA,1104,45.1717,-91.1435
